feature,importance
lat,634.4
doy_sin,452.0
lon,405.8
track_dir_sin,394.8
wind10_dir_cos,352.4
doy_cos,343.2
wind10_dir_sin,273.4
wind10_mag,264.6
wind_pres_ratio,218.8
track_dir_cos,218.6
wind10_mag_d6h_stack,190.2
lon_norm,187.2
wind10_mag_t-12h,177.6
track_speed_6h,154.0
wmo_wind_rollstd_24h,148.8
track_curv_12h,139.0
wind10_mag_t-18h,136.2
wind_x_negpres,135.4
track_curv_12h_t-12h,133.2
wind10_mag_d12h_stack,129.8
wind10_mag_t-24h,129.2
track_curv_12h_d6h_stack,125.4
wind10_mag_t-6h,122.0
track_speed_12h_d6h_stack,119.0
wmo_pres,116.0
track_curv_12h_t-6h,112.8
track_curv_12h_t-18h,109.8
track_curv_12h_t-24h,96.6
track_speed_12h_t-24h,93.8
wmo_pres_lag6h,92.8
track_curv_12h_t-48h,86.4
wind10_mag_d18h_stack,82.8
track_speed_12h,82.2
wmo_wind_rollmean_24h,80.0
wind10_mag_d36h_stack,78.8
track_speed_24h_t-48h,77.0
wmo_pres_t-42h,74.6
track_speed_24h_d6h_stack,74.4
wind10_mag_t-30h,72.6
track_curv_12h_d12h_stack,72.6
wind10_mag_d24h_stack,71.0
wind10_mag_d48h_stack,70.0
track_curv_12h_d24h_stack,66.8
track_curv_12h_d36h_stack,66.4
track_curv_12h_t-30h,65.6
track_speed_12h_t-12h,65.4
track_curv_12h_d30h_stack,64.0
wind10_mag_d30h_stack,63.8
track_speed_24h,63.4
track_speed_24h_t-24h,61.2
wmo_pres_lag12h,60.8
wmo_pres_d30h_stack,59.8
wmo_pres_lag48h,59.4
track_curv_12h_d18h_stack,59.0
wmo_pres_lag18h,58.4
track_speed_12h_t-6h,58.4
track_speed_24h_t-6h,58.0
wmo_pres_d24h,57.2
track_curv_12h_t-36h,57.0
wmo_pres_lag24h,56.8
track_speed_12h_t-36h,56.4
track_speed_12h_d12h_stack,55.4
abs_lat,55.2
wmo_pres_d6h,53.6
track_speed_18h,53.6
wind10_mag_t-42h,53.4
wind10_mag_t-36h,52.8
track_curv_12h_d48h_stack,52.4
wmo_pres_d36h,52.2
track_speed_12h_t-30h,52.0
track_speed_12h_t-42h,51.0
track_speed_24h_d48h_stack,49.0
track_speed_12h_t-18h,48.4
neg_pres,48.4
track_curv_12h_t-42h,47.8
track_curv_12h_d42h_stack,46.0
track_speed_24h_t-12h,45.4
track_speed_24h_t-42h,45.2
wmo_pres_d6h_stack,43.6
wmo_pres_d18h,39.6
wmo_pres_d42h_stack,38.8
wmo_pres_d48h,38.0
wmo_pres_t-30h,37.6
wind10_mag_t-48h,35.8
track_speed_12h_d24h_stack,34.8
wmo_wind_d6h,34.2
track_speed_12h_d48h_stack,34.2
track_speed_24h_d18h_stack,34.2
track_speed_24h_t-18h,32.0
wmo_wind_d36h,31.0
wmo_pres_t-12h,30.6
wmo_wind_d12h,30.2
track_speed_12h_d18h_stack,30.0
track_speed_24h_d36h_stack,29.8
wind10_mag_d42h_stack,28.6
wmo_wind_lag48h,28.2
track_speed_12h_d36h_stack,27.8
wmo_pres_d12h,27.6
wmo_pres_lag36h,27.2
track_speed_24h_d42h_stack,27.2
wmo_wind_rollmean_12h,26.8
wmo_pres_t-18h,26.2
wmo_wind_lag18h,25.4
track_speed_24h_d12h_stack,24.0
track_speed_24h_t-30h,22.8
track_speed_12h_d42h_stack,22.6
wmo_wind_lag24h,22.4
track_speed_12h_d30h_stack,22.4
wmo_wind_lag6h,21.4
track_speed_24h_d24h_stack,20.8
wmo_wind_d24h,19.2
track_speed_12h_t-48h,18.8
wmo_wind_d18h,18.6
wmo_wind_d30h_stack,17.8
wmo_pres_t-6h,17.2
wmo_wind_t-12h,17.0
wmo_pres_d18h_stack,17.0
wmo_wind_lag36h,16.4
wmo_wind_t-42h,16.0
wmo_wind_t-30h,15.6
track_speed_24h_d30h_stack,14.8
month,14.0
track_speed_24h_t-36h,13.8
wmo_pres_d12h_stack,13.4
wmo_wind_d48h,12.4
wmo_wind,10.4
wmo_wind_lag12h,9.6
wmo_wind_d42h_stack,9.6
wmo_pres_t-24h,8.6
wmo_wind_rollstd_12h,8.4
wmo_pres_t-36h,8.2
wmo_pres_d36h_stack,6.8
wmo_wind_d6h_stack,6.8
wmo_pres_t-48h,6.0
hour,5.8
wmo_pres_d24h_stack,5.2
wmo_pres_d48h_stack,5.0
wmo_wind_t-48h,4.0
wmo_wind_t-6h,4.0
wmo_wind_d12h_stack,2.8
wmo_wind_d36h_stack,2.6
wmo_wind_d18h_stack,2.6
wmo_wind_t-18h,2.2
wmo_wind_t-24h,2.0
wmo_wind_t-36h,2.0
wmo_wind_d24h_stack,2.0
wmo_wind_d48h_stack,0.6
