method,split,count,mean_km,median_km,p90_km,p95_km,max_km
persistence,train,3323,260.0491900077434,214.1913593121959,499.88405546336224,642.1330423890133,1460.2761541602188
persistence,val,740,286.2666416971881,222.71891129641148,579.0536301705243,717.9860638743611,1644.4531620329385
persistence,test,1285,280.09803429740816,225.1449253783335,546.0602288452891,675.7602490203782,1272.2094127221114
persistence,all,5348,268.4941561936836,217.40152753445065,521.6433042616547,658.9121536471117,1644.4531620329385
wind10_advection,train,3323,572.2629704795391,475.1425598482191,1108.6521622022192,1363.7014189280803,2749.6825865241976
wind10_advection,val,740,540.4483242096044,457.6336599452434,1004.8518250818149,1269.279100446666,2124.291167419437
wind10_advection,test,1285,513.9077614003476,457.0565177371546,975.051894125168,1132.3723282722626,2378.976136529902
wind10_advection,all,5348,553.8393949547612,467.82687735668304,1061.1197902193544,1296.0855773917635,2749.6825865241976
climatology,train,3323,428.60836176878547,356.79095176450136,801.4906234242817,1000.407681301032,1999.45700007271
climatology,val,740,462.9897674149903,384.9337098662911,803.1459708978784,1236.4519765951973,2327.1222342717447
climatology,test,1285,413.1436487137879,342.53341332135034,800.7847628250557,946.1662983980584,1458.9099125731018
climatology,all,5348,429.6498883025401,356.2949333859189,801.710214108636,1004.430876121007,2327.1222342717447
ensemble_pers_wind,train,3323,295.3747267003193,251.44673361590702,551.519937658893,681.7637409977451,1644.2903089752162
ensemble_pers_wind,val,740,311.495995572556,251.8585199732422,587.5648086456866,735.3053885089072,1376.22458429721
ensemble_pers_wind,test,1285,294.44765330071755,252.6299038844664,547.8426608069379,658.2420894770789,1222.1939558707684
ensemble_pers_wind,all,5348,297.38266418105354,251.69455008249273,558.6965317690426,686.089699314167,1644.2903089752162
persistence_damped,train,3323,255.8713010565743,208.6996842691994,492.7481812026107,640.9261836891528,1496.971874734778
persistence_damped,val,740,283.66981873340416,218.1323359909514,580.3874888206619,737.7082151985004,1506.933923717662
persistence_damped,test,1285,272.3018033684313,218.47331630780658,532.4523250683815,653.2554892135453,1225.7316460419481
persistence_damped,all,5348,263.66563511633314,212.38005195143734,518.1923843415894,662.1059445075058,1506.933923717662
persistence_lat_adjusted,train,3323,266.3194988912851,217.34594871016083,517.0909995118362,661.345374233742,1580.7484308761625
persistence_lat_adjusted,val,740,292.90719319339985,236.55816335229696,569.8721056111522,706.7821241564643,2035.070350823897
persistence_lat_adjusted,test,1285,292.42325984374736,229.37900078725468,584.6122903695331,716.798642286352,1395.1392883143974
persistence_lat_adjusted,all,5348,276.2705509869244,222.71065293292622,543.5343031379005,682.5973438770731,2035.070350823897
