feature,importance_dx,importance_dy
dx_6h,2515,408
lat,1533,900
speed_6h,1519,591
v10,1427,895
u10,1307,1255
dx_12h,1243,512
lon,1173,1051
speed_12h,1110,542
t2m_c,1056,800
dy_12h,1050,952
tp,1000,713
sst_c,968,927
storm_age_h,965,583
wind10,845,591
doy_cos,805,548
sst_gradient,795,439
sst_x_wind,790,583
heading_sin_6h,789,454
intensity_x_speed,773,496
dist_to_land_km,764,641
doy_sin,755,519
heading_cos_12h,698,487
msl_hpa,664,430
heading_cos_6h,646,724
season,634,451
dy_6h,538,1996
heading_sin_12h,535,443
mslp_deficit,533,336
wmo_pres,532,390
shear_v,418,228
shear_u,342,341
hour_sin,321,336
hour_cos,320,132
wind_chg_12h,244,154
wmo_wind,231,169
shear_mag,231,158
month_cos,99,134
wind_chg_6h,91,188
month_sin,62,100
basin_SH,0,0
basin_AL,0,0
basin_EP,0,0
basin_WP,0,0
